Region,Country,TotalCases,TotalTests,ActiveCases
Europe,Europe,249,310,345,,245,282,951
Europe,France,40,070,566,610,976,39,845,579
Europe,Germany,38,425,176,458,077,38,233,500
Europe,Italy,25,842,595,428,832,25,528,203
Europe,UK,24,603,076,359,180,24,359,748
Europe,Russia,22,917,873,157,181,22,346,830
Europe,Spain,13,845,825,296,363,13,681,014
Europe,Netherlands,8,610,372,500,270,8,587,380
Europe,Poland,6,516,588,172,672,5,335,940
Europe,Austria,6,075,837,670,126,6,047,258
Europe,Greece,6,059,649,587,367,5,999,622
Europe,Portugal,5,585,859,550,843,5,554,918
Europe,Ukraine,5,544,969,128,379,5,426,086
Europe,Belgium,4,798,041,411,204,4,757,889
Europe,Czechia,4,641,860,432,332,4,598,029
Europe,Switzerland,4,405,433,502,122,4,386,927
Europe,Romania,3,402,356,178,777,3,329,193
Europe,Denmark,3,181,750,545,292,3,172,499
Europe,Sweden,2,709,830,265,176,2,682,238
Europe,Serbia,2,540,769,293,628,2,518,743
Europe,Hungary,2,202,716,229,300,2,151,299
Europe,Slovakia,1,866,814,341,895,1,845,480
Europe,Ireland,1,711,233,340,870,1,700,800
Europe,Norway,1,484,448,269,343,1,478,019
Europe,Finland,1,479,608,266,358,1,465,429
Europe,Slovenia,1,343,897,646,716,1,328,006
Europe,Lithuania,1,320,186,495,992,1,309,188
Europe,Bulgaria,1,307,017,190,956,1,266,631
Europe,Croatia,1,273,671,313,767,1,255,129
Europe,Belarus,994,037,105,381,985,592
Europe,Latvia,977,891,528,922,971,406
Europe,Moldova,620,519,154,621,504,142
Europe,Estonia,618,782,468,097,524,990
Europe,Bosnia and Herzegovina,402,940,124,008,379,084
Europe,North Macedonia,348,281,167,338,337,068
Europe,Albania,334,726,116,777,329,428
Europe,Luxembourg,319,959,498,091,316,690
Europe,Montenegro,291,853,464,771,288,546
Europe,Iceland,209,191,605,661,N/A
Europe,Malta,118,677,267,271,117,305
Europe,Channel Islands,101,717,576,421,101,321
Europe,Andorra,48,015,619,844,47,563
Europe,Isle of Man,38,008,443,335,N/A
Europe,Faeroe Islands,34,658,703,959,N/A
Europe,San Marino,24,263,711,838,24,117
Europe,Liechtenstein,21,446,558,679,21,350
Europe,Gibraltar,20,550,609,720,16,579
Europe,Monaco,16,789,422,014,15,992
Europe,Vatican City,29,36,295,29
Europe,Total:,249,310,345,,245,282,951
